PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
15.19, 1.53, 25.06,-0.09471, -0.17494, 0.00596, -0.98000,43.47528,
15.25, 1.53, 25.01,-0.04688, -0.54893, 0.07562, -0.83112,43.82095,
15.23, 1.53, 25.03,-0.07068, -0.52762, 0.05344, -0.84485,44.16495,
15.20, 1.53, 25.06,-0.08504, -0.33332, 0.03151, -0.93844,44.50864,
15.17, 1.53, 25.06,-0.08000, -0.12540, 0.03093, -0.98839,44.85329,
15.13, 1.52, 25.06,-0.09942, 0.09913, 0.00264, -0.99009,45.19684,
15.15, 1.52, 25.07,-0.11811, 0.07583, 0.01674, -0.98996,45.54148,
15.17, 1.52, 25.08,-0.13054, 0.04185, 0.04239, -0.98965,45.88579,
15.19, 1.51, 25.09,-0.16057, 0.01634, 0.02765, -0.98650,46.23063,
15.19, 1.51, 25.09,-0.15831, -0.01976, 0.02247, -0.98694,46.57497,
15.19, 1.51, 25.09,-0.15250, -0.02708, 0.00946, -0.98789,46.91931,
15.19, 1.51, 25.08,-0.18811, -0.08143, 0.01066, -0.97871,47.2623,
15.20, 1.50, 25.08,-0.20171, -0.12236, 0.01792, -0.97161,47.60727,
15.20, 1.50, 25.07,-0.20065, -0.12930, 0.02069, -0.97087,47.95135,
15.20, 1.51, 25.06,-0.19845, -0.13524, 0.01834, -0.97056,48.29631,
15.21, 1.50, 25.06,-0.20688, -0.14255, 0.02169, -0.96768,48.64093,
15.21, 1.50, 25.06,-0.21354, -0.16158, 0.02468, -0.96316,48.99167,
15.21, 1.50, 25.06,-0.20847, -0.16390, 0.02473, -0.96388,49.34493,
15.20, 1.50, 25.06,-0.22131, -0.15387, 0.01957, -0.96279,49.73322,
15.20, 1.50, 25.06,-0.22264, -0.14037, 0.01879, -0.96456,50.0835,
15.19, 1.50, 25.06,-0.22720, -0.13438, 0.01197, -0.96446,50.42769,
15.18, 1.50, 25.06,-0.22516, -0.10169, 0.00255, -0.96900,50.77298,
15.18, 1.50, 25.07,-0.22769, -0.09421, 0.00178, -0.96916,51.11643,
15.17, 1.50, 25.08,-0.22716, -0.04963, -0.00440, -0.97258,51.46066,
15.14, 1.50, 25.08,-0.20781, 0.13187, -0.03488, -0.96861,51.80549,
15.10, 1.51, 25.07,-0.15394, 0.32408, -0.05063, -0.93205,52.14629,
15.13, 1.49, 25.08,-0.22874, 0.27771, -0.06378, -0.93085,52.49224,
15.15, 1.49, 25.09,-0.26829, 0.16377, -0.04245, -0.94837,52.83778,
15.16, 1.49, 25.09,-0.25436, 0.09424, -0.02972, -0.96205,53.1838,
15.17, 1.51, 25.08,-0.17332, 0.02617, -0.01006, -0.98447,53.52749,
15.20, 1.52, 25.08,-0.12191, -0.13108, 0.00854, -0.98381,53.87115,
15.27, 1.53, 25.04,-0.08736, -0.38193, 0.05343, -0.91850,54.21467,
15.30, 1.52, 24.93,-0.03765, -0.75295, 0.13052, -0.64391,54.55922,
15.24, 1.51, 24.93,0.02654, 0.90340, -0.12731, 0.40861,54.90486,
15.18, 1.52, 24.84,-0.00534, 0.96275, -0.11239, 0.24587,55.2479,
15.11, 1.51, 24.78,-0.02572, 0.99046, -0.11870, 0.06510,55.59251,
15.10, 1.52, 24.80,-0.08187, 0.89134, -0.10852, -0.43247,55.93707,
15.12, 1.53, 24.80,-0.04717, 0.89226, -0.08886, -0.44017,56.28139,
15.06, 1.52, 24.91,-0.07420, 0.77919, -0.08529, -0.61650,56.62642,
15.06, 1.51, 25.05,-0.13672, 0.42595, -0.04050, -0.89344,56.9695,
15.02, 1.51, 25.05,-0.15133, 0.28932, -0.03628, -0.94450,57.31287,
15.00, 1.50, 25.04,-0.16557, 0.26195, -0.05006, -0.94945,57.65691,
15.00, 1.49, 25.03,-0.24230, 0.38067, -0.10007, -0.88677,58.00317,
14.99, 1.47, 25.08,-0.28666, 0.40310, -0.12559, -0.85998,58.34621,
14.94, 1.48, 25.16,-0.22426, 0.41058, -0.09483, -0.87872,58.69139,
14.78, 1.46, 25.24,-0.25045, 0.38149, -0.11802, -0.88194,59.03608,
14.59, 1.48, 25.37,-0.21796, 0.35248, -0.10534, -0.90396,59.37965,
14.43, 1.48, 25.60,-0.18335, 0.36630, -0.08477, -0.90831,59.7243,
14.25, 1.49, 25.79,-0.18690, 0.36747, -0.07263, -0.90816,60.06897,
13.98, 1.49, 25.97,-0.16308, 0.30971, -0.09507, -0.93191,60.41267,
13.81, 1.49, 26.22,-0.15660, 0.22456, -0.05196, -0.96039,60.75621,
13.70, 1.50, 26.47,-0.14740, 0.10168, 0.01008, -0.98378,61.10162,
13.49, 1.49, 26.65,-0.16022, 0.01118, -0.00206, -0.98702,61.44364,
13.39, 1.50, 26.83,-0.15879, -0.03808, 0.00500, -0.98657,61.78582,
13.40, 1.48, 27.10,-0.17985, -0.05178, 0.01083, -0.98227,62.13431,
